scenario,scenario_name,run_id,seed,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,throughput,mean_finality_latency,mean_receipt_latency,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability
Q7,Hot-shard Qtum workload,20,9213,458,458,444,417,1251,6255,0,2,1360,16,0,96.9432,91.048,2.7314,18.2915,23.8555,22.7074,190.6604,190.7198,0.0297,28.2894,22.1064,32.0863,2,0.0
Q7,Hot-shard Qtum workload,21,9214,356,356,349,328,984,4920,0,2,1061,16,0,98.0337,92.1348,2.764,18.6671,24.1496,27.809,135.714,135.3379,0.188,26.5366,24.5027,34.7561,1,0.0
Q7,Hot-shard Qtum workload,22,9215,366,366,362,344,1032,5160,0,2,1094,16,0,98.9071,93.9891,2.8197,18.2614,23.723,18.8525,140.7402,140.3567,0.1918,29.2442,22.2685,33.314,2,0.0
Q7,Hot-shard Qtum workload,23,9216,305,305,300,275,825,4125,0,2,910,16,0,98.3607,90.1639,2.7049,18.0383,23.5287,19.0164,134.7046,135.0116,0.1535,32.1455,28.0053,40.3636,1,0.0
Q7,Hot-shard Qtum workload,24,9217,399,399,393,367,1101,5505,0,2,1191,16,0,98.4962,91.9799,2.7594,18.2173,23.7595,20.3008,159.1992,159.2661,0.0334,29.5277,22.3308,33.6785,1,0.0
Q7,Hot-shard Qtum workload,25,9218,327,327,325,309,927,4635,0,2,979,16,0,99.3884,94.4954,2.8349,18.2522,23.7244,20.1835,148.0326,148.2099,0.0887,33.0097,28.2549,37.4757,1,0.0
Q7,Hot-shard Qtum workload,26,9219,365,365,361,338,1014,5070,0,2,1091,16,0,98.9041,92.6027,2.7781,18.4117,24.0283,24.6575,141.2175,141.6278,0.2052,32.2189,34.2188,42.9586,1,0.0
Q7,Hot-shard Qtum workload,27,9220,429,429,419,391,1173,5865,0,2,1277,16,0,97.669,91.1422,2.7343,18.5392,24.0733,26.5734,178.5805,178.7209,0.0702,29.4714,22.3179,33.6061,1,0.0
Q7,Hot-shard Qtum workload,28,9221,405,405,402,378,1134,5670,0,2,1212,16,0,99.2593,93.3333,2.8,18.2131,23.7874,20.2469,170.239,170.8495,0.3053,29.0123,22.2223,33.0159,2,0.0
Q7,Hot-shard Qtum workload,29,9222,420,420,416,396,1188,5940,0,2,1256,16,0,99.0476,94.2857,2.8286,18.2149,23.6862,21.6667,157.3995,157.4659,0.0332,25.0,30.4889,43.7374,1,0.0
Q7,Hot-shard Qtum workload,30,9223,397,397,391,375,1125,5625,0,2,1185,16,0,98.4887,94.4584,2.8338,18.3119,23.7829,22.4181,158.7861,158.802,0.008,26.5173,24.4951,34.72,1,0.0
Q7,Hot-shard Qtum workload,31,9224,453,453,447,424,1272,6360,0,2,1353,16,0,98.6755,93.5982,2.8079,18.3661,23.8398,22.9581,170.3256,170.3945,0.0344,31.8396,23.0813,36.6509,1,0.0
