factor_id,factor,level_id,level_value,metric,n,mean,sd,median,q1,q3,iqr,min,max,ci_low,ci_high,ci_half
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,finality_receipt_gap_pp,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,active_committees,100,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,reconfiguration_events,100,0.66,0.5167888418597165,1.0,0.0,1.0,1.0,0.0,2.0,0.5574578819591238,0.7625421180408762,0.10254211804087618
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,shard_load_std,100,6.35,2.9995790950522956,7.5,3.0,9.0,6.0,2.0,12.0,5.7548184311972985,6.945181568802701,0.595181568802701
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,reward_gini,100,50.26189999999999,5.984935920266563,49.64,46.0125,54.2975,8.284999999999997,35.82,64.17,49.07435886928485,51.44944113071513,1.187541130715137
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,reward_hhi,100,19.357200000000002,2.872546148234589,18.405,17.252499999999998,21.65,4.397500000000001,14.58,25.79,18.787224523845868,19.927175476154137,0.569975476154134
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,nakamoto_coefficient,100,2.56,0.4988876515698589,3.0,2.0,3.0,1.0,2.0,3.0,2.461009866481795,2.658990133518205,0.09899013351820522
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,owner_concentration_pct,100,29.162300000000002,6.632878902509342,26.09,23.62,34.61,10.989999999999998,19.78,42.85,27.84619292438211,30.478407075617895,1.3161070756178948
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,reward_events,100,140.0,0.0,140.0,140.0,140.0,0.0,140.0,140.0,140.0,140.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,evidence_count,100,461.66,0.5167888418597165,462.0,461.0,462.0,1.0,461.0,463.0,461.5574578819591,461.7625421180409,0.10254211804087618
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,model_time,100,57.87,6.2565601934725645,63.0,51.0,64.0,13.0,51.0,64.0,56.62856272054909,59.111437279450904,1.2414372794509059
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,submitted_tx,100,28.0,0.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,28.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,prepared_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,finality_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,receipt_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,terminal_failure_pct,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,cross_shard_ratio_pct,100,80.85714285714283,3.310060998478225,82.14285714285714,78.57142857142857,82.14285714285714,3.5714285714285694,71.42857142857143,89.28571428571429,80.20035494274627,81.51393077153939,0.6567879143965556
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,logical_throughput,100,0.4737630090497737,0.05311226915135398,0.4375,0.4375,0.5490196078431373,0.1115196078431373,0.4307692307692308,0.5490196078431373,0.46322438257104,0.4843016355285074,0.01053862647873369
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,mean_finality_latency,100,28.799285714285713,0.4184956764532456,28.928571428571427,28.535714285714285,28.964285714285715,0.4285714285714306,27.571428571428573,29.928571428571427,28.7162470927473,28.882324335824126,0.08303862153841546
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,mean_receipt_latency,100,47.293571428571425,0.6166616523555514,47.5,46.892857142857146,47.535714285714285,0.6428571428571388,45.5,48.92857142857143,47.17121237817171,47.41593047897114,0.12235905039971753
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,finality_receipt_gap_pp,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,active_committees,100,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,reconfiguration_events,100,0.77,0.600588936550675,1.0,0.0,1.0,1.0,0.0,2.0,0.6508301251160892,0.8891698748839109,0.11916987488391087
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,shard_load_std,100,6.65,2.8863139262401933,6.5,4.0,9.0,5.0,3.0,12.0,6.077292697995427,7.222707302004574,0.572707302004574
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,reward_gini,100,49.99539999999999,5.814000069494394,48.84,45.8575,54.542500000000004,8.685000000000002,35.82,63.46,48.84177625055845,51.149023749441525,1.1536237494415387
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,reward_hhi,100,19.2269,2.752000078914141,17.92,17.23,21.8525,4.622499999999999,14.58,25.01,18.680843479265143,19.77295652073486,0.5460565207348597
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,nakamoto_coefficient,100,2.58,0.49604496374885826,3.0,2.0,3.0,1.0,2.0,3.0,2.4815739174180447,2.6784260825819555,0.09842608258195544
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,owner_concentration_pct,100,28.682199999999998,6.5598324042400025,26.23,23.07,34.61,11.54,19.78,42.85,27.38058693439411,29.983813065605887,1.3016130656058897
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,reward_events,100,140.0,0.0,140.0,140.0,140.0,0.0,140.0,140.0,140.0,140.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,evidence_count,100,461.77,0.6005889365506749,462.0,461.0,462.0,1.0,461.0,463.0,461.65083012511604,461.8891698748839,0.11916987488391084
CROSS_SHARD_PCT,Cross-shard demand,HIGH,80%,model_time,100,59.79,6.205723978796519,64.0,51.0,64.0,13.0,51.0,65.0,58.558649728440564,61.021350271559434,1.2313502715594362
REQUEST_OFFLINE_PCT,Request disconnection,LOW,10%,submitted_tx,100,24.0,0.0,24.0,24.0,24.0,0.0,24.0,24.0,24.0,24.0,0.0
