scenario_id,scenario,name,metric,n,mean,sd,median,q1,q3,iqr,min,max,ci_low,ci_high,ci_half
3,Q3,Cross-shard,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Q3,Cross-shard,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Q3,Cross-shard,reward_gini,100,50.128099999999996,5.938638196275526,49.89,46.37,54.5975,8.2275,36.09,62.74,48.94974534216115,51.30645465783884,1.1783546578388484
3,Q3,Cross-shard,reward_hhi,100,19.2799,2.8183502212636684,18.36,17.2925,21.735,4.442499999999999,14.63,25.02,18.72067817154613,19.839121828453873,0.5592218284538701
3,Q3,Cross-shard,nakamoto_coefficient,100,2.56,0.49888765156985887,3.0,2.0,3.0,1.0,2.0,3.0,2.461009866481795,2.658990133518205,0.09899013351820521
3,Q3,Cross-shard,owner_concentration_pct,100,28.901499999999995,6.619795745117118,25.27,23.4825,34.61,11.127499999999998,20.05,42.85,27.587988906649894,30.215011093350096,1.3135110933501024
4,Q4,Poor connectivity,finality_success_pct,100,72.54166666666667,2.8460671468299696,70.83333333333333,70.83333333333333,75.0,4.166666666666671,66.66666666666667,79.16666666666667,71.97694519885735,73.10638813447599,0.5647214678093215
4,Q4,Poor connectivity,receipt_success_pct,100,48.375,2.9548961632480415,50.0,45.833333333333336,50.0,4.166666666666664,41.666666666666664,54.166666666666664,47.788684494270555,48.961315505729445,0.5863155057294429
4,Q4,Poor connectivity,logical_throughput,100,0.19082577717760824,0.023197611662270086,0.19047619047619047,0.1767153097798259,0.1935483870967742,0.016833077316948275,0.15873015873015872,0.26666666666666666,0.18622286774794872,0.19542868660726775,0.004602909429659507
4,Q4,Poor connectivity,mean_finality_latency,100,26.299719642242863,0.7547837254877039,26.352941176470587,25.647058823529413,26.45098039215686,0.8039215686274481,24.8125,28.555555555555557,26.14995417595344,26.449485108532286,0.1497654662894251
4,Q4,Poor connectivity,mean_receipt_latency,100,46.077230769230766,1.5204368721332124,45.63636363636363,45.416666666666664,47.109848484848484,1.6931818181818201,43.72727272727273,51.1,45.77554310768039,46.37891843078114,0.3016876615503751
4,Q4,Poor connectivity,cross_shard_ratio_pct,100,7.916666666666666,4.29107208787031,8.333333333333334,4.166666666666667,8.333333333333334,4.166666666666667,0.0,20.833333333333332,7.065224868943507,8.768108464389826,0.851441797723159
4,Q4,Poor connectivity,reconfiguration_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Q4,Poor connectivity,shard_load_std,100,2.95,0.5573204290227128,3.0,3.0,3.0,0.0,2.0,4.0,2.839415535726772,3.0605844642732283,0.11058446427322817
4,Q4,Poor connectivity,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
